"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.196346054E1,4.870808354E1,2.211646850E0,1.356826665E2,1.823756104E2,0.000000000E0,NaN,1.950042597E0,1.011474800E1,4.631483078E0,2.300000000E1
8.296259122E1,4.870807682E1,2.211644380E0,1.353167567E2,1.820097046E2,0.000000000E0,NaN,1.950314397E0,1.016172600E1,4.790332794E0,2.300000000E1
8.396127632E1,4.870807475E1,2.211646350E0,1.360109096E2,1.827038574E2,0.000000000E0,NaN,1.950654665E0,1.016962337E1,4.823740959E0,2.400000000E1
8.496307299E1,4.870807272E1,2.211642880E0,1.359918030E2,1.826847534E2,0.000000000E0,NaN,1.950807077E0,1.029071426E1,4.916281223E0,2.500000000E1
8.596275783E1,4.870807235E1,2.211640880E0,1.358008228E2,1.824937744E2,0.000000000E0,NaN,1.951019072E0,1.027445507E1,4.827176571E0,2.500000000E1
8.696061106E1,4.870807208E1,2.211638020E0,1.359822178E2,1.826751709E2,0.000000000E0,NaN,1.951166959E0,1.031600571E1,4.820154190E0,2.400000000E1
8.796011736E1,4.870807327E1,2.211637120E0,1.362096348E2,1.829025879E2,0.000000000E0,NaN,1.951274858E0,1.043069172E1,4.844972134E0,2.300000000E1
8.896124507E1,4.870807230E1,2.211637160E0,1.361727081E2,1.828656616E2,0.000000000E0,NaN,1.956438291E0,1.045247555E1,4.836777210E0,2.400000000E1
8.996044351E1,4.870804138E1,2.211584660E0,1.312973634E2,1.779903564E2,2.579999924E0,2.146000061E2,1.960506472E0,1.029649258E1,4.604228973E0,2.400000000E1
9.096486908E1,4.870800889E1,2.211559170E0,1.262212870E2,1.729143066E2,6.100000143E-1,1.933000031E2,1.962430461E0,1.011928177E1,4.257620335E0,2.400000000E1
9.196401846E1,4.870799733E1,2.211539660E0,1.251919754E2,1.718850098E2,1.159999967E0,2.246000061E2,1.964925083E0,1.010968876E1,4.273196220E0,2.400000000E1
9.296193616E1,4.870798222E1,2.211514530E0,1.244165657E2,1.711096191E2,1.360000014E0,2.033999939E2,1.968084482E0,1.012862015E1,4.374356270E0,2.400000000E1
9.396192976E1,4.870796202E1,2.211484250E0,1.234122084E2,1.701052856E2,1.000000000E0,2.156999969E2,1.969380317E0,1.002449989E1,4.014644623E0,2.400000000E1
9.495990830E1,4.870795137E1,2.211477080E0,1.225381158E2,1.692312012E2,9.399999976E-1,2.033000031E2,1.970658352E0,3.917756081E0,3.958412647E0,2.500000000E1
9.596129861E1,4.870794113E1,2.211469170E0,1.214820772E2,1.681751709E2,1.159999967E0,2.111000061E2,1.972840147E0,3.958387852E0,4.025850773E0,2.500000000E1
9.695970397E1,4.870792310E1,2.211457440E0,1.201104817E2,1.668035889E2,1.389999986E0,2.043000031E2,1.974094023E0,4.088298798E0,3.992391586E0,2.500000000E1
9.796051991E1,4.870791304E1,2.211449720E0,1.195543212E2,1.662474365E2,6.100000143E-1,2.051000061E2,1.975535007E0,3.992214203E0,3.938733816E0,2.600000000E1
9.896328262E1,4.870790315E1,2.211437030E0,1.188569230E2,1.655500488E2,9.599999785E-1,2.155000000E2,1.976434888E0,3.993292570E0,3.914955139E0,2.600000000E1
9.996032147E1,4.870789908E1,2.211426430E0,1.166625799E2,1.633557129E2,5.199999809E-1,2.540000000E2,1.977549991E0,3.844639778E0,3.655869246E0,2.600000000E1
1.009620203E2,4.870789474E1,2.211412730E0,1.165051615E2,1.631983032E2,8.700000048E-1,2.366000061E2,1.978736137E0,3.790092468E0,3.488820553E0,2.500000000E1
1.019619935E2,4.870788725E1,2.211401220E0,1.156562756E2,1.623494263E2,9.200000167E-1,2.198999939E2,1.980181340E0,3.790092468E0,3.345745325E0,2.600000000E1
1.029602815E2,4.870787572E1,2.211392130E0,1.156564492E2,1.623496094E2,6.399999857E-1,2.230000000E2,1.981602266E0,3.790092468E0,3.341557741E0,2.600000000E1
1.039595875E2,4.870786514E1,2.211381270E0,1.154253602E2,1.621185303E2,7.599999905E-1,2.255000000E2,1.983807607E0,3.790092468E0,3.335221529E0,2.600000000E1
1.049603707E2,4.870784718E1,2.211368520E0,1.174206465E2,1.641138306E2,9.700000286E-1,2.190000000E2,1.986045664E0,3.790092468E0,3.409740686E0,2.300000000E1
1.059603310E2,4.870782892E1,2.211355690E0,1.175483789E2,1.642415771E2,1.330000043E0,2.120000000E2,1.988334475E0,3.872969866E0,3.705978394E0,2.500000000E1
1.069605545E2,4.870781133E1,2.211339490E0,1.177645499E2,1.644577637E2,1.580000043E0,2.138000031E2,1.990380599E0,4.052052498E0,4.005460262E0,2.500000000E1
1.079633161E2,4.870779606E1,2.211323930E0,1.179127289E2,1.646059570E2,1.500000000E0,2.158999939E2,1.991602783E0,4.224202156E0,4.282131195E0,2.500000000E1
1.089691649E2,4.870778923E1,2.211310880E0,1.164931638E2,1.631864014E2,1.200000048E0,2.218000031E2,1.992745718E0,4.261477470E0,4.387146473E0,2.500000000E1
1.099636378E2,4.870778316E1,2.211298310E0,1.159790558E2,1.626723022E2,1.149999976E0,2.265000000E2,1.994096168E0,4.410095692E0,4.629490852E0,2.400000000E1
1.109649741E2,4.870777520E1,2.211284410E0,1.156413379E2,1.623345947E2,1.220000029E0,2.275000000E2,1.995903190E0,4.452324867E0,4.655222893E0,2.400000000E1
1.119646304E2,4.870776056E1,2.211273720E0,1.167176202E2,1.634108887E2,1.080000043E0,2.233000031E2,1.997924886E0,3.981131554E0,3.879821062E0,2.200000000E1
1.129643392E2,4.870774517E1,2.211259050E0,1.162006386E2,1.628939209E2,1.289999962E0,2.233000031E2,1.999646685E0,3.877722979E0,3.689843416E0,2.400000000E1
1.139681751E2,4.870773438E1,2.211242220E0,1.163111602E2,1.630044556E2,1.370000005E0,2.240000000E2,2.001315148E0,3.843865633E0,3.626340628E0,2.400000000E1
1.149727323E2,4.870772476E1,2.211224770E0,1.164065453E2,1.630998535E2,1.370000005E0,2.303999939E2,2.002471443E0,3.797080040E0,3.572364569E0,2.400000000E1
1.159709034E2,4.870772013E1,2.211210660E0,1.150337945E2,1.617271118E2,1.090000033E0,2.460000000E2,2.003712126E0,3.790092468E0,3.478510380E0,2.400000000E1
1.169639167E2,4.870771183E1,2.211199360E0,1.150420250E2,1.617353516E2,1.240000010E0,2.225000000E2,2.004764901E0,3.790092468E0,3.410662174E0,2.400000000E1
1.179612952E2,4.870770562E1,2.211188530E0,1.148667239E2,1.615600586E2,1.190000057E0,2.291000061E2,2.006331507E0,3.790092468E0,3.367688656E0,2.400000000E1
1.189648085E2,4.870769429E1,2.211175840E0,1.158790419E2,1.625723877E2,1.549999952E0,2.170000000E2,2.007931441E0,3.790092468E0,3.434763908E0,2.100000000E1
1.199625305E2,4.870768315E1,2.211162040E0,1.160597553E2,1.627531128E2,1.539999962E0,2.148999939E2,2.009739419E0,3.790092468E0,3.198088169E0,2.100000000E1
1.209641820E2,4.870766964E1,2.211148330E0,1.159094741E2,1.626028442E2,1.409999967E0,2.163999939E2,2.011197422E0,3.790092468E0,3.016815901E0,2.000000000E1
1.219667841E2,4.870766175E1,2.211132460E0,1.155020531E2,1.621954346E2,1.330000043E0,2.311999969E2,2.012945993E0,3.790092468E0,3.198968649E0,2.200000000E1
1.229587205E2,4.870764837E1,2.211119940E0,1.157154201E2,1.624088135E2,1.179999948E0,2.276999969E2,2.014755943E0,3.790092468E0,3.022875786E0,2.300000000E1
1.239647059E2,4.870763476E1,2.211106410E0,1.160935813E2,1.627869873E2,1.460000038E0,2.195000000E2,2.016043299E0,3.790092468E0,3.068610668E0,2.400000000E1
1.249667905E2,4.870762644E1,2.211094210E0,1.150738573E2,1.617672729E2,1.100000024E0,2.285000000E2,2.017417483E0,3.790092468E0,2.941270113E0,2.400000000E1
1.259708957E2,4.870761627E1,2.211083570E0,1.146948193E2,1.613882446E2,1.259999990E0,2.156000061E2,2.018804767E0,3.790092468E0,2.817688465E0,2.400000000E1
1.269596590E2,4.870760443E1,2.211077610E0,1.149723382E2,1.616657715E2,1.279999971E0,1.983999939E2,2.020534262E0,3.790092468E0,2.689734459E0,2.500000000E1
1.279648549E2,4.870758947E1,2.211071160E0,1.153266988E2,1.620201416E2,1.580000043E0,1.968999939E2,2.021899097E0,3.790092468E0,2.667954922E0,2.500000000E1
1.289587939E2,4.870757747E1,2.211067250E0,1.150320141E2,1.617254639E2,1.350000024E0,1.918000031E2,2.023256204E0,3.790092468E0,2.516851187E0,2.500000000E1
1.299621867E2,4.870756550E1,2.211063640E0,1.149395390E2,1.616329956E2,1.350000024E0,1.930000000E2,2.024942949E0,3.790092468E0,2.500000000E0,2.300000000E1
