"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.187022395E2,4.870991430E1,2.195491650E0,1.450768963E2,1.917772827E2,1.710000038E0,1.870000000E2,7.935235277E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.197086962E2,4.870989666E1,2.195489160E0,1.446725298E2,1.913729248E2,1.710000038E0,1.880000000E2,7.955216295E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.207002880E2,4.870987895E1,2.195484550E0,1.443162580E2,1.910166626E2,1.710000038E0,1.938999939E2,7.975411986E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.217072127E2,4.870986085E1,2.195482270E0,1.440646624E2,1.907650757E2,1.700000048E0,1.873000031E2,7.993907793E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.227071463E2,4.870984444E1,2.195478150E0,1.438443167E2,1.905447388E2,1.600000024E0,1.923999939E2,8.013525041E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.237069974E2,4.870982689E1,2.195475420E0,1.438923427E2,1.905927734E2,1.700000048E0,1.903000031E2,8.033291054E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.247077698E2,4.870980912E1,2.195476120E0,1.438854998E2,1.905859375E2,1.710000038E0,1.783000031E2,8.053626653E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.257098052E2,4.870979101E1,2.195479980E0,1.435685998E2,1.902690430E2,1.730000019E0,1.850000000E2,8.073260781E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.267084885E2,4.870977338E1,2.195481470E0,1.432650044E2,1.899654541E2,1.720000029E0,1.858000031E2,8.092293182E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.277052856E2,4.870975628E1,2.195482600E0,1.432376542E2,1.899381104E2,1.730000019E0,1.843000031E2,8.109858634E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.287017035E2,4.870974050E1,2.195481490E0,1.431241827E2,1.898246460E2,1.610000014E0,1.826000061E2,8.126727823E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.297047638E2,4.870972533E1,2.195481250E0,1.427710880E2,1.894715576E2,1.570000052E0,1.831999969E2,8.143698975E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.307009465E2,4.870971032E1,2.195477060E0,1.422723004E2,1.889727783E2,1.549999952E0,1.893999939E2,8.161185478E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.317065053E2,4.870969467E1,2.195474720E0,1.420923611E2,1.887928467E2,1.590000033E0,1.848999939E2,8.177800378E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.327007655E2,4.870967978E1,2.195476610E0,1.419744360E2,1.886749268E2,1.580000043E0,1.773000031E2,8.193850880E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.337050769E2,4.870966535E1,2.195476060E0,1.418479649E2,1.885484619E2,1.590000033E0,1.841999969E2,8.210274010E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.347046548E2,4.870965064E1,2.195474050E0,1.415966761E2,1.882971802E2,1.529999971E0,1.890000000E2,8.227746952E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.357079687E2,4.870963495E1,2.195475360E0,1.414020902E2,1.881026001E2,1.629999995E0,1.848999939E2,8.244133749E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.367082830E2,4.870962029E1,2.195473080E0,1.410883013E2,1.877888184E2,1.600000024E0,1.926999969E2,8.261016114E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.377033702E2,4.870960512E1,2.195474020E0,1.411524435E2,1.878529663E2,1.570000052E0,1.836999969E2,8.277435628E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.387135534E2,4.870959036E1,2.195474680E0,1.414115320E2,1.881120605E2,1.590000033E0,1.821999969E2,8.293396911E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.397072345E2,4.870957612E1,2.195471940E0,1.407776746E2,1.874782104E2,1.539999962E0,1.921000061E2,8.311415516E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.407088723E2,4.870955992E1,2.195471360E0,1.404574772E2,1.871580200E2,1.720000029E0,1.853000031E2,8.330068402E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.417097544E2,4.870954318E1,2.195473000E0,1.405124638E2,1.872130127E2,1.720000029E0,1.833999939E2,8.348642520E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.427007063E2,4.870952660E1,2.195476080E0,1.404031446E2,1.871036987E2,1.730000019E0,1.833999939E2,8.365495116E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.437105609E2,4.870951148E1,2.195474500E0,1.400258182E2,1.867263794E2,1.559999943E0,1.915000000E2,8.382190166E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.447061700E2,4.870949648E1,2.195473510E0,1.395743955E2,1.862749634E2,1.559999943E0,1.868000031E2,8.399270110E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.457031020E2,4.870948112E1,2.195473350E0,1.393477045E2,1.860482788E2,1.669999957E0,1.858000031E2,8.415957814E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.467045351E2,4.870946619E1,2.195471040E0,1.388375043E2,1.855380859E2,1.620000005E0,1.898999939E2,8.431786970E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.477076334E2,4.870945212E1,2.195467760E0,1.385440398E2,1.852446289E2,1.600000024E0,1.931000061E2,8.448992072E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.487026936E2,4.870943675E1,2.195465060E0,1.381153822E2,1.848159790E2,1.620000005E0,1.898999939E2,8.464934183E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.497082162E2,4.870942249E1,2.195462810E0,1.375680730E2,1.842686768E2,1.529999971E0,1.891999969E2,8.480500990E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.507022385E2,4.870940888E1,2.195457840E0,1.375927841E2,1.842933960E2,1.639999986E0,1.981000061E2,8.498285014E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.517036231E2,4.870939358E1,2.195450780E0,1.372144172E2,1.839150391E2,1.799999952E0,1.933000031E2,8.514469568E-1,3.790092468E0,2.500000000E0,3.200000000E1
1.527027058E2,4.870937923E1,2.195447090E0,1.373881766E2,1.840888062E2,1.679999948E0,1.863999939E2,8.531028866E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.537056875E2,4.870936436E1,2.195445860E0,1.374933334E2,1.841939697E2,1.620000005E0,1.803000031E2,8.547285240E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.547099135E2,4.870934976E1,2.195444710E0,1.372502237E2,1.839508667E2,1.740000010E0,1.795000000E2,8.564886638E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.557080319E2,4.870933406E1,2.195441650E0,1.373242514E2,1.840249023E2,1.789999962E0,1.856999969E2,8.581292318E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.567084315E2,4.870931937E1,2.195439570E0,1.371721446E2,1.838728027E2,1.690000057E0,1.880000000E2,8.599930276E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.577034496E2,4.870930266E1,2.195437580E0,1.372204766E2,1.839211426E2,1.740000010E0,1.843000031E2,8.617736885E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.587030010E2,4.870928685E1,2.195433720E0,1.368950897E2,1.835957642E2,1.720000029E0,1.895000000E2,8.635660786E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.597029963E2,4.870927098E1,2.195429440E0,1.367297367E2,1.834304199E2,1.809999943E0,1.926999969E2,8.652230003E-1,3.790092468E0,2.500000000E0,3.100000000E1
